Country, Publication_Date,Title,URL
QAT, 2021-06-13 , "Qatari study reveals effectiveness of vaccination, prior infection in preventing Covid-19", "https://thepeninsulaqatar.com/article/13/06/2021/Qatari-study-reveals-effectiveness-of-vaccination,-prior-infection-in-preventing-Covid-19"
QAT, 2021-06-02, " Qatar supports the COVAX facility to accelerate global access to COVID19 vaccines: Minister of Public Health", "https://thepeninsulaqatar.com/article/02/06/2021/Qatar-supports-the-COVAX-facility-to-accelerate-global-access-to-COVID19-vaccines-Minister-of-Public-Health"
QAT, 2021-05-31, "Qatar confronts Covid-19 with largest vaccination campaign in its history", "https://www.thepeninsulaqatar.com/article/31/05/2021/Qatar-confronts-Covid-19-with-largest-vaccination-campaign-in-its-history"
QAT, 2021-05-03, "Nearly 45% Qatar’s eligible population receive at least one Covid-19 dose", "https://www.dohanews.co/nearly-45-qatars-eligible-population-receive-at-least-one-covid-19-dose/"
