Country, Publication_Date,Title, URL
DZA, 2021-06-07, "2.5 Million People Have Been Vaccinated", "https://english.aawsat.com/home/article/3013481/algeria-says-25-million-people-have-been-vaccinated"
DZA, 2021-05-26, "Beginning of vaccination for citizens registered on electronic platform", "https://www.dzairdaily.com/covid-algerie-debut-vaccination-inscrits-plateforme-electronique/"
DZA, 2021-05-26, "Pr Djenouhat: 10 million Algerians should be vaccinated to reach herd immunity", "https://www.ennaharonline.com/fr/pr-djenouhat-covid-19-vacciner-millions-dalgeriens-limmunite-collective/"
DZA, 2021-05-02, "Algeria received 300.000 doses of SPUTNIK V and 100.000 doses of CORONAVAC ", "https://www.inter-lignes.com/covid-19-reception-de-nouvelles-doses-de-vaccins/"
DZA, 2021-04-14, "Vaccination centers planning to vaccinate most of the Algerians at night", "http://www.elbilad.net/article/detail?id=114874"
DZA, 2021-04-07, "Sputnik V vaccine will be produced in Algeria starting in September", "https://www.aps.dz/sante-science-technologie/120290-le-vaccin-anti-covid-sputnik-v-sera-produit-en-algerie-a-partir-de-septembre"
DZA, 2021-01-17, "Algeria is preparing to receive half a million doses of Sputnik V vaccine before January", "https://arabic.sputniknews.com/arab_world/202101171047822214-الجزائر-تستعد-لاستقبال-نصف-مليون-جرعة-من-لقاح-سبوتنيك-V-قبل-يناير/"*
DZA, 2021-01-14, " Algeria announces its commitment to share its doses of the Covid-19 vaccine with Tunisia", "https://www.akhbarona.com/world/318244.html"
